target_xpath,condition_value,replacement_value
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283023,https://digicoll.lib.berkeley.edu/record/91864
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283024,https://digicoll.lib.berkeley.edu/record/91865
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283025,https://digicoll.lib.berkeley.edu/record/91866
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283026,https://digicoll.lib.berkeley.edu/record/91867
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283027,https://digicoll.lib.berkeley.edu/record/91868
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283028,https://digicoll.lib.berkeley.edu/record/91869
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283029,https://digicoll.lib.berkeley.edu/record/91870
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283030,https://digicoll.lib.berkeley.edu/record/91871
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283031,https://digicoll.lib.berkeley.edu/record/91872
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283032,https://digicoll.lib.berkeley.edu/record/91873
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283033,https://digicoll.lib.berkeley.edu/record/91874
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283034,https://digicoll.lib.berkeley.edu/record/91875
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283035,https://digicoll.lib.berkeley.edu/record/91876
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283036,https://digicoll.lib.berkeley.edu/record/91877
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283037,https://digicoll.lib.berkeley.edu/record/91878
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283038,https://digicoll.lib.berkeley.edu/record/91879
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283039,https://digicoll.lib.berkeley.edu/record/91880
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283040,https://digicoll.lib.berkeley.edu/record/91881
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283041,https://digicoll.lib.berkeley.edu/record/91882
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283042,https://digicoll.lib.berkeley.edu/record/91883
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283043,https://digicoll.lib.berkeley.edu/record/91884
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283044,https://digicoll.lib.berkeley.edu/record/91885
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283060,https://digicoll.lib.berkeley.edu/record/91901
